ALQ144,Arandela 3/8,0.4,0.1,10
ALQ145,Arandela 1/4,0.3,0.1,10
ALQ146,Formaleta metálica 30 cm x 2.07 m,145,3.15,10
ALQ147,Pilote metálico liviano,100,1.9,10
ALQ148,Pilote metálico estructural,100,1.9,10
ALQ149,Acoples de 7/8,12,0.21,10
ALQ150,Viga channel de 4 x 5 lbs/pie x 1.53 m,18,3.2,10
ALQ151,Base superior de 2 x 0.60 m,60,2.3,10
ALQ152,Plataforma metálica 0.30 m x 2.16 m,150,4.75,10
ALQ153,Perno cónico de 1 x 3/4 x 1.20 m,48,10.5,10
ALQ154,Tuerca 1 1/4,2,0.2,10
ALQ155,Viga H de 1.225 m,17.15,3.15,10
ALQ156,Viga Chanel de 4 x 6 m,0,0,10
ALQ157,Viga H de 12.00 m,151,12.6,10
ALQ158,Cepo 5/8,0.34,1,10
ALQ159,Perno todo rosca de 1 x 2.00 m,7.5,5.25,10
ALQ160,Tuerca de 5/8,0.95,0,10
ALQ161,Tensor señorita de 3/4,14,0,10
ALQ162,Perno ancla 1/2 x 4 1/4,1.43,0.3,10
ALQ163,Perno ancla 1/2 x 3 3/4,1.19,0.3,10
ALQ164,Pasamano para escalerón largo,20,1.85,10
ALQ165,Brazo en L para andamiaje en cantiliver o moldeado de losa,0,0,10
ALQ166,Tubo base para andamio,0,0,10
ALQ167,Perno cónico de 1 1/4 x 1 x 1.20 m,56,10.5,10
ALQ168,Perno cónico de 1 1/4 x 1 x 1.00 m,52,10.5,10
ALQ169,Wailer de 4 x 1.50 m,48.34,2.65,10
ALQ170,Viga H  W8x10 de 12.20 M,0,12.6,10
ALQ171,Perno cónico de 1 1/2 x 7/8 x 1.00 m,0,0,10
ALQ172,Formaletas Metalicas de 40 cm x 2.00 m,58.65,5.8,10
ALQ173,Formaletas Metalicas de 60 cm x 2.00 m,67.65,3.5,10
ALQ174,Wailer de 3 x 1.50m,48.34,2.65,10
ALQ175,Perno todo rosca de 5/8 x 2.0 m,0,1.05,10
ALQ176,Perno todo rosca de 5/8 x 1.0 m,0,1.05,10
ALQ177,Tuerca de 7/8,0,0.1,10
ALQ178,Arandela de 7/8,0,0.1,10
ALQ179,Arandela de 1 1/4,3.2,0.1,10
ALQ180,Tuerca de 1 1/4,1.8,0,10
ALQ181,Arandela de 1 1/2,0,0.1,10
ALQ182,Viga h de 1.60 m,22.4,2.8,10
ALQ183,"Channel 3"" de 2 metros",13.85,2.35,10
ALQ184,Viga H W6x9 de 1.20 metros,25.2,1.5,10
ALQ185,Vigas H-20 de 1.90 metros (usadas),15.85,3.15,10
ALQ186,Vigas H-20 de 2.90 metros (usadas),24.2,3.7,10
ALQ187,Marco de andamio estructural de 0.91M x 1.28M x 2,125,3.45,10
ALQ188,Viga H de 1.30 m,18.2,3.15,10
ALQ189,Channel de 3 x 1.50m,41.04,2,10
ALQ190,Viga H de 10.00 m,0,16.8,10
ALQ191,Perno ancla 1/2 x 3 3/4 completo incluye 2 tuercas y 2 arandelas,1.19,0.5,10
ALQ192,Perno ancla 1/2 x 4 1/4 completo incluye 2 tuercas y 2 arandelas,1.43,0.5,10
ALQ193,Perno cónico de 1 1/2 x 1.20 m completo incluye 2 tuercas y 2 arandelas,125,7.55,10
ALQ194,Perno cónico de 1 1/2 x 7/8 x 1.00 m completo incluye 2 tuercas y 2 arandelas,0,0,10
ALQ195,Perno cónico de 1 1/2 1.50 m completo incluye 2 tuercas y 2 arandelas,125,7.55,10
ALQ196,Perno cónico de 1 1/2 1.80 m completo incluye 2 tuercas y 2 arandelas,125,7.55,10
ALQ197,Perno cónico de 1 1/4 x 1 x 1.00 m completo incluye 2 tuercas y 2 arandelas,52,10.8,10
ALQ198,Perno cónico de 1 1/4 x 1 x 1.20 m completo incluye 2 tuercas y 2 arandelas,56,10.8,10
ALQ199,Perno cónico de 1 1/4 x 1 x 1.50 m completo incluye 2 tuercas y 2 arandelas,64,12.11,10
ALQ200,Perno cónico de 1 x 3/4 x 1.20 m completo incluye 2 tuercas y 2 arandelas,48,10.7,10
ALQ201,Perno de varilla corrugada 1 x 1.50 m completo incluye 2 tuercas y 2 arandelas,18.75,5.45,10
ALQ202,Perno de varilla corrugada 1 x 3.10 m completo incluye 2 tuercas y 2 arandelas,38.75,10.7,10
ALQ203,Perno de varilla corrugada 1 x 3.80 m completo incluye 2 tuercas y 2 arandelas,47.5,10.7,10
ALQ204,Perno de varilla corrugada 1 x 4.00 m completo incluye 2 tuercas y 2 arandelas,50,10.7,10
ALQ205,Perno de varilla corrugada de 1 x 1.20 m completo incluye 2 tuercas y 2 arandelas,15,5.45,10
ALQ206,Perno de varilla corrugada de 1 x 1.70 m completo incluye 2 tuercas y 2 arandelas,21.25,5.45,10
ALQ207,Perno todo rosca de 1 x 0.10 m completo incluye 2 tuercas y 2 arandelas,1.25,0.73,10
ALQ208,Perno todo rosca de 1 x 0.15 m completo incluye 2 tuercas y 2 arandelas,1.88,1.25,10
ALQ209,Perno todo rosca de 1 x 0.20 m completo incluye 2 tuercas y 2 arandelas,2.5,1.25,10
ALQ210,Perno todo rosca de 1 x 0.30 m completo incluye 2 tuercas y 2 arandelas,3.75,1.25,10
ALQ211,Perno todo rosca de 1 x 0.50 m completo incluye 2 tuercas y 2 arandelas,6.25,2.85,10
ALQ212,Perno todo rosca de 1 x 0.75 m completo incluye 2 tuercas y 2 arandelas,9.38,2.85,10
ALQ213,Perno todo rosca de 1 x 0.80 m completo incluye 2 tuercas y 2 arandelas,10,2.85,10
ALQ214,Perno todo rosca de 1 x 1.00 m completo incluye 2 tuercas y 2 arandelas,12.5,2.85,10
ALQ215,Perno todo rosca de 1 x 2.00 m completo incluye 2 tuercas y 2 arandelas,7.5,5.45,10
ALQ216,Perno todo rosca de 1/2 x 1.00 m completo incluye 2 tuercas y 2 arandelas,4,0.65,10
ALQ217,Perno todo rosca de 1/2 x 2.00 m completo incluye 2 tuercas y 2 arandelas,8,1.05,10
ALQ218,Perno todo rosca de 1/4 x 0.75 m completo incluye 2 tuercas y 2 arandelas,3,0.55,10
ALQ219,Perno todo rosca de 1/4 x 1.00 m completo incluye 2 tuercas y 2 arandelas,3,0.55,10
ALQ220,Perno todo rosca de 3/4 x 0.50 m completo incluye 2 tuercas y 2 arandelas,3.5,1.25,10
ALQ221,Perno todo rosca de 3/4 x 1.00 m completo incluye 2 tuercas y 2 arandelas,7,1.25,10
ALQ222,Perno todo rosca de 3/8 x 0.50 m completo incluye 2 tuercas y 2 arandelas,4,0.65,10
ALQ223,Perno todo rosca de 3/8 x 1.00 m completo incluye 2 tuercas y 2 arandelas,7,1.25,10
ALQ224,Perno todo rosca de 5/8 x 1.00 m completo incluye 2 tuercas y 2 arandelas,5,1.78,10
ALQ225,Perno todo rosca de 5/8 x 2.00 m completo incluye 2 tuercas y 2 arandelas,7,1.25,10
ALQ226,Viga H de 4.00 m W 8 X 10,0,4.9,10
ALQ227,"Acople de 3/8""",0,0,10
ALQ228,"Angulo de 3/8"" x 0.15 m x 3/8""",0,0,10
ALQ229,"Arandela de 1/2""",0,0,10
ALQ230,Cajuela para andamio,0,0,10
ALQ231,"Channel de 3"" x 12.20 m",0,0,10
ALQ232,"Channel de 4"" x 6.00 m",0,0,10
ALQ233,"Cruceta de tubo de 1"" x 2.30 m",0,0,10
ALQ234,"Cruceta de angulo de 1"" x 1.50 m",0,0,10
ALQ235,"Cruceta de angulo de 1"" x 1.30 m",0,0,10
ALQ236,"Perno de varilla corrugada de 1"" x 1.00 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ237,"Perno de varilla corrugada de 1"" x 3.20 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ238,"Perno de varilla corrugada de 1"" x 6.70 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ239,"Perno de varilla corrugada de 1"" x 2.00 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ240,"Perno todo rosca de 1"" x 0.90 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ241,"Perno todo rosca de 1"" x 1.20 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ242,"Perno todo rosca de 1"" x 1.50 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ243,"Perno todo rosca de 1"" x 3.00 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ244,"Perno todo rosca de 3/4"" x 0.25 m completo incluye 2 tuercas y 2 arandelas",0,0,10
